---

$ .venv/bin/python -c "
import csv
import re

valid_pattern = re.compile(r'^[0-9]{6}/[0-9]{3}\$')

with open('entust/eksponaat.csv', 'r', encoding='utf-8') as f:
    reader = csv.reader(f)
    next(reader)  # Skip header
    count = 0
    for row in reader:
        entu_id = row[0] if len(row) > 0 else ''
        code = row[5] if len(row) > 5 else ''
        
        # Catch both missing and invalid codes
        if not code or not valid_pattern.match(code):
            count += 1
            status = 'MISSING' if not code else 'INVALID'
            print(f'{count},{entu_id},{code},{status}')
" > vigaseid_koode.csv

---

240,52964e4bbdf9203d66ccf8ab,f000080/004,INVALID
241,52964e4bbdf9203d66ccf8ac,f000080/005,INVALID
242,52964e4bbdf9203d66ccf8ad,f000080/006,INVALID
243,52964e4bbdf9203d66ccf8ae,f000080/007,INVALID
244,52964e4bbdf9203d66ccf8af,f000080/008,INVALID
245,52964e4bbdf9203d66ccf8b0,f000080/009,INVALID
246,52964e4bbdf9203d66ccf8b1,f000081/001,INVALID
247,52964e4bbdf9203d66ccf8b2,f000081/002,INVALID
248,52964e4bbdf9203d66ccf8b3,f000081/003,INVALID
249,52964e4bbdf9203d66ccf8b4,f000081/004,INVALID
250,52964e4bbdf9203d66ccf8b5,f000081/005,INVALID
251,52964e4bbdf9203d66ccf8b6,f000081/006,INVALID
252,52964e4bbdf9203d66ccf8b7,f000081/007,INVALID
253,52964e4bbdf9203d66ccf8b8,f000081/008,INVALID
254,52964e4bbdf9203d66ccf8b9,f000081/009,INVALID
255,52964e4bbdf9203d66ccf8ba,f000081/010,INVALID
256,52964e4bbdf9203d66ccf8bb,f000081/011,INVALID
257,52964e4bbdf9203d66ccf8bc,f000081/012,INVALID
258,52964e4bbdf9203d66ccf8bd,f000081/013,INVALID
259,52964e4bbdf9203d66ccf8be,f000081/014,INVALID
260,52964e4bbdf9203d66ccf8bf,f000081/015,INVALID
261,52964e4bbdf9203d66ccf8c0,f000081/016,INVALID
262,52964e4bbdf9203d66ccf8c1,f000081/017,INVALID
263,52964e4bbdf9203d66ccf8c2,f000081/018,INVALID
264,52964e4bbdf9203d66ccf8c3,f000081/019,INVALID
265,52964e4bbdf9203d66ccf8c4,f000081/020,INVALID
266,52964e4bbdf9203d66ccf8c5,f000081/021,INVALID
267,52964e4bbdf9203d66ccf8c6,f000081/022,INVALID
268,52964e4bbdf9203d66ccf8c7,f000081/023,INVALID
269,52964e4bbdf9203d66ccf8c8,f000081/024,INVALID
270,52964e4bbdf9203d66ccf8c9,f000081/025,INVALID
271,52964e4bbdf9203d66ccf8ca,f000081/026,INVALID
272,52964e4bbdf9203d66ccf8cb,f000081/027,INVALID
273,52964e4bbdf9203d66ccf8cc,f000082/000,INVALID
274,52964e4bbdf9203d66ccf8cd,f000083/001,INVALID
275,52964e4bbdf9203d66ccf8ce,f000084/001,INVALID
276,52964e4bbdf9203d66ccf8cf,f000084/002,INVALID
277,52964e4bbdf9203d66ccf8d0,f000084/003,INVALID
278,52964e4bbdf9203d66ccf8d1,f000084/004,INVALID
279,52964e4bbdf9203d66ccf8d2,f000086/001,INVALID
280,52964e4bbdf9203d66ccf8d3,f000086/002,INVALID
281,52964e4bbdf9203d66ccf8d4,f000088/000,INVALID
282,52964e4bbdf9203d66ccf8d5,f000089/001,INVALID
283,52964e4bbdf9203d66ccf8d6,f000063/019,INVALID
284,52964e4bbdf9203d66ccf8d7,f000065/001,INVALID
285,52964e4bbdf9203d66ccf8d8,f000065/002,INVALID
